square/retrofit
google/guava
sohutv/cachecloud
code4craft/webmagic
perwendel/spark
thinkgem/jeesite
google/guice
openhab/openhab
dieforfree/qart4j
jhy/jsoup
square/moshi
square/javapoet
google/error-prone
JakeWharton/DiskLruCache
alibaba/canal
JakeWharton/RxRelay
serge-rider/dbeaver
JodaOrg/joda-time
dropwizard/metrics
jayway/rest-assured
junit-team/junit
jwtk/jjwt
b3log/solo
immutables/immutables
NanoHttpd/nanohttpd
raphw/byte-buddy
JakeWharton/picasso2-okhttp3-downloader
junit-team/junit4
eirslett/frontend-maven-plugin
pagehelper/Mybatis-PageHelper
Activiti/Activiti
JakeWharton/RxReplayingShare
ninjaframework/ninja
pedrovgs/Algorithms
frohoff/ysoserial
xtuhcy/gecco
ata4/disunity
mrniko/netty-socketio
apache/commons-lang
aws/aws-sdk-java
cglib/cglib
sockeqwe/fragmentargs
SAP/openui5
languagetool-org/languagetool
spotify/apollo
javamelody/javamelody
sannies/mp4parser
igniterealtime/Openfire
vert-x3/vertx-examples
citerus/dddsample-core
JCTools/JCTools
JakeWharton/retrofit1-okhttp3-client
dubboclub/dubbokeeper
mp911de/lettuce
notnoop/java-apns
goldmansachs/gs-collections
junicorn/java-china
BroadleafCommerce/BroadleafCommerce
graphhopper/graphhopper
google/google-java-format
docker-java/docker-java
mybatis/mybatis-spring-boot
qiujiayu/AutoLoadCache
Netflix/curator
jooby-project/jooby
sarxos/webcam-capture
sqshq/PiggyMetrics
searchbox-io/Jest
devnied/EMV-NFC-Paycard-Enrollment
edvin/tornadofx
pinterest/secor
google/jimfs
apache/shiro
armzilla/amazon-echo-ha-bridge
cucumber/cucumber-jvm
asciidocfx/AsciidocFX
mabe02/lanterna
google/truth
relayrides/pushy
google/google-http-java-client
datastax/java-driver
facebook/nifty
protostuff/protostuff
royclarkson/spring-rest-service-oauth
alibaba/TProfiler
shopizer-ecommerce/shopizer
Bukkit/Bukkit
adamfisk/LittleProxy
takari/maven-wrapper
jayway/awaitility
